CHANGE_DATE,MARATON_ID,CHANNEL,CURRENT
09-NOV-17 12.25.29.598000000 AM,39,4,56.6800003051758
09-NOV-17 12.43.01.622000000 AM,39,0,39.0299987792969
09-NOV-17 12.43.01.622000000 AM,39,4,38.939998626709
09-NOV-17 12.43.04.633000000 AM,39,0,56.8099975585938
09-NOV-17 12.43.04.633000000 AM,39,4,56.4699974060059
09-NOV-17 12.55.01.832000000 AM,39,1,17.5200004577637
09-NOV-17 12.55.50.052000000 AM,39,3,53.2099990844727
09-NOV-17 12.56.17.040000000 AM,39,3,54.439998626709
09-NOV-17 12.57.14.043000000 AM,39,3,53.2099990844727
09-NOV-17 12.57.20.049000000 AM,39,3,54.439998626709
09-NOV-17 01.07.45.051000000 AM,39,3,53.3499984741211
09-NOV-17 01.08.12.071000000 AM,39,3,54.5699996948242
09-NOV-17 01.16.07.078000000 AM,39,3,53.3499984741211
09-NOV-17 01.16.34.082000000 AM,39,3,54.5699996948242
09-NOV-17 01.33.32.098000000 AM,39,3,53.3499984741211
09-NOV-17 01.33.59.101000000 AM,39,3,54.5699996948242
09-NOV-17 01.38.41.713000000 AM,39,4,44.6499977111816
09-NOV-17 01.38.41.713000000 AM,39,0,44.5499992370605
09-NOV-17 01.38.44.708000000 AM,39,0,57.2199974060059
09-NOV-17 01.38.44.708000000 AM,39,4,56.6800003051758
09-NOV-17 01.52.51.731000000 AM,39,0,33.5099983215332
09-NOV-17 01.52.51.731000000 AM,39,4,33.2299995422363
09-NOV-17 01.52.54.726000000 AM,39,4,56.6800003051758
09-NOV-17 01.52.54.726000000 AM,39,0,57.0200004577637
09-NOV-17 02.00.35.148000000 AM,39,3,53.0799980163574
09-NOV-17 02.00.35.148000000 AM,39,7,41.129997253418
09-NOV-17 02.00.38.143000000 AM,39,7,46.5599975585938
09-NOV-17 02.00.38.143000000 AM,39,3,54.2999992370605
09-NOV-17 02.07.38.753000000 AM,39,4,40.3600006103516
09-NOV-17 02.07.38.753000000 AM,39,0,39.0299987792969
09-NOV-17 02.07.41.748000000 AM,39,0,33.7199974060059
09-NOV-17 02.07.41.748000000 AM,39,4,33.4300003051758
09-NOV-17 02.07.44.759000000 AM,39,0,57.0200004577637
09-NOV-17 02.07.44.759000000 AM,39,4,56.6800003051758
09-NOV-17 02.08.19.953000000 AM,39,5,16.2999992370605
09-NOV-17 02.08.19.953000000 AM,39,1,16.2299995422363
09-NOV-17 02.08.22.948000000 AM,39,1,17.3199996948242
09-NOV-17 02.08.25.959000000 AM,39,5,17.5200004577637
09-NOV-17 02.08.41.153000000 AM,39,3,53.2099990844727
09-NOV-17 02.09.08.157000000 AM,39,3,54.439998626709
09-NOV-17 02.13.11.768000000 AM,39,4,35.2700004577637
09-NOV-17 02.13.11.768000000 AM,39,0,37.3999977111816
09-NOV-17 02.13.14.763000000 AM,39,0,32.0799980163574
09-NOV-17 02.13.14.763000000 AM,39,4,32.0099983215332
09-NOV-17 02.13.17.758000000 AM,39,4,56.6800003051758
09-NOV-17 02.13.17.758000000 AM,39,0,57.0200004577637
09-NOV-17 02.14.21.157000000 AM,39,3,52.939998626709
09-NOV-17 02.14.21.157000000 AM,39,7,28.3699989318848
09-NOV-17 02.14.24.168000000 AM,39,7,46.5599975585938
09-NOV-17 02.14.24.168000000 AM,39,3,54.2999992370605
09-NOV-17 02.33.58.185000000 AM,39,3,45.4799995422363
09-NOV-17 02.33.58.185000000 AM,39,7,29.1799983978271
09-NOV-17 02.34.01.196000000 AM,39,7,46.5599975585938
09-NOV-17 02.34.01.196000000 AM,39,3,54.2999992370605
09-NOV-17 02.37.14.200000000 AM,39,3,53.2099990844727
09-NOV-17 02.37.38.193000000 AM,39,3,54.2999992370605
09-NOV-17 02.41.05.191000000 AM,39,3,53.2099990844727
09-NOV-17 02.41.05.191000000 AM,39,7,41.129997253418
09-NOV-17 02.41.08.202000000 AM,39,3,54.2999992370605
09-NOV-17 02.41.08.202000000 AM,39,7,46.5599975585938
09-NOV-17 02.58.57.230000000 AM,39,7,41.129997253418
09-NOV-17 02.58.57.230000000 AM,39,3,53.2099990844727
09-NOV-17 02.59.00.225000000 AM,39,7,46.5599975585938
09-NOV-17 02.59.00.225000000 AM,39,3,54.2999992370605
09-NOV-17 03.03.43.242000000 AM,39,3,53.2099990844727
09-NOV-17 03.03.55.238000000 AM,39,3,54.2999992370605
09-NOV-17 03.06.37.043000000 AM,39,1,15.0799999237061
09-NOV-17 03.06.37.043000000 AM,39,5,15.0899991989136
09-NOV-17 03.06.37.245000000 AM,39,7,41.129997253418
09-NOV-17 03.06.37.245000000 AM,39,3,53.2099990844727
09-NOV-17 03.06.40.038000000 AM,39,5,17.5200004577637
09-NOV-17 03.06.40.038000000 AM,39,1,17.5900001525879
09-NOV-17 03.06.40.241000000 AM,39,3,54.2999992370605
09-NOV-17 03.06.40.241000000 AM,39,7,46.5599975585938
09-NOV-17 03.08.49.051000000 AM,39,1,15.6899995803833
09-NOV-17 03.08.49.051000000 AM,39,5,15.6300001144409
09-NOV-17 03.08.49.238000000 AM,39,3,53.2099990844727
09-NOV-17 03.08.52.046000000 AM,39,5,17.5200004577637
09-NOV-17 03.08.52.046000000 AM,39,1,17.5900001525879
09-NOV-17 03.08.52.249000000 AM,39,3,54.2999992370605
09-NOV-17 03.10.16.240000000 AM,39,7,41.129997253418
09-NOV-17 03.10.16.240000000 AM,39,3,53.0799980163574
09-NOV-17 03.10.19.250000000 AM,39,3,54.2999992370605
09-NOV-17 03.10.19.250000000 AM,39,7,46.5599975585938
09-NOV-17 03.13.28.246000000 AM,39,7,28.3699989318848
09-NOV-17 03.13.28.246000000 AM,39,3,52.939998626709
09-NOV-17 03.13.31.256000000 AM,39,3,54.2999992370605
09-NOV-17 03.13.31.256000000 AM,39,7,46.5599975585938
09-NOV-17 03.25.08.280000000 AM,39,3,53.2099990844727
09-NOV-17 03.25.08.280000000 AM,39,7,41.129997253418
09-NOV-17 03.25.11.276000000 AM,39,7,46.5599975585938
09-NOV-17 03.25.11.276000000 AM,39,3,54.2999992370605
09-NOV-17 03.37.52.025000000 AM,39,0,39.0299987792969
