error %	R_bin_center	Dose [Gy]
5.93310356	98.4375	4.37E+02
3.05375504	102.8125	3.96E+02
2.97643757	107.1875	3.36E+02
3.85755682	111.5625	3.01E+02
3.03869367	115.9375	2.64E+02
3.34764433	120.3125	2.55E+02
4.67464447	124.6875	2.34E+02
5.15836143	129.0625	2.22E+02
3.68572021	133.4375	1.71E+02
4.60947275	137.8125	1.66E+02
12.2300825	142.1875	1.91E+02
8.52762699	146.5625	1.51E+02
4.45364904	150.9375	1.04E+02
4.4308176	155.3125	1.01E+02
7.08855391	159.6875	1.10E+02
7.11656666	164.0625	9.60E+01
5.24365234	168.4375	7.21E+01
4.82224131	172.8125	6.73E+01
5.92223072	177.1875	6.59E+01
6.75382471	181.5625	6.51E+01
17.0379524	185.9375	7.75E+01
6.73677921	190.3125	5.01E+01
14.7762136	194.6875	6.13E+01
7.00512075	199.0625	4.46E+01
5.00261641	203.4375	3.37E+01
7.59912729	207.8125	3.73E+01
7.57585621	212.1875	3.62E+01
8.65725327	216.5625	2.82E+01
8.4392767	220.9375	3.09E+01
5.44139576	225.3125	2.66E+01
7.68689823	229.6875	3.06E+01
10.8507519	234.0625	2.27E+01
8.60671234	238.4375	2.22E+01
25.0996857	242.8125	3.38E+01
27.5670795	247.1875	2.09E+01
13.4183674	251.5625	1.69E+01
9.5425148	255.9375	1.78E+01
8.02560806	260.3125	1.55E+01
13.4600372	264.6875	9.73E+00
13.4600372	266.875	        9.73E+00
